frequency2,S11_C,S21_C
22.4175,-26.18538556,-0.145248726
22.42,-26.38467208,-0.145105715
22.4225,-26.60720587,-0.1449433
22.425,-26.8551421,-0.144764103
22.4275,-27.13100857,-0.144571129
22.43,-27.43779272,-0.144367785
22.4325,-27.77905587,-0.144157911
22.435,-28.15908554,-0.143945796
22.4375,-28.5831021,-0.143736212
22.44,-29.0575446,-0.143534433
22.4425,-29.59047523,-0.143346269
22.445,-30.19216632,-0.143178086
22.4475,-30.87597787,-0.143036841
22.45,-31.65971583,-0.142930107
22.4525,-32.56782229,-0.142866108
22.455,-33.63508485,-0.142853744
22.4575,-34.91330345,-0.142902624
22.46,-36.48417123,-0.143023103
22.4625,-38.48639597,-0.143226307
22.465,-41.17786853,-0.143524171
22.4675,-45.06623127,-0.143929472
22.47,-50.26853371,-0.144455861
22.4725,-48.46930966,-0.1451179
22.475,-43.09423853,-0.145931093
22.4775,-39.29982828,-0.146911924
22.48,-36.50824894,-0.148077889
22.4825,-34.30625515,-0.149447531
22.485,-32.48343356,-0.151040474
22.4875,-30.92321589,-0.152877455
22.49,-29.55519949,-0.154980358
22.4925,-28.33385601,-0.157372246
22.495,-27.22813177,-0.160077388
22.4975,-26.21593406,-0.16312129
22.5,-25.28100199,-0.166530724
22.5025,-24.41102855,-0.170333749
22.505,-23.59648002,-0.174559736
22.5075,-22.82982449,-0.179239387
22.51,-22.10501068,-0.184404752
22.5125,-21.41710586,-0.190089243
22.515,-20.762038,-0.19632764
22.5175,-20.1364081,-0.203156102
22.52,-19.53735114,-0.210612161
22.5225,-18.96243114,-0.21873472
22.525,-18.40956085,-0.227564041
22.5275,-17.87693943,-0.237141731
22.53,-17.36300349,-0.247510713
22.5325,-16.86638818,-0.2587152
22.535,-16.38589598,-0.270800653
22.5375,-15.92047138,-0.283813738
22.54,-15.46918021,-0.297802268
22.5425,-15.0311926,-0.312815138
22.545,-14.60576881,-0.328902254
22.5475,-14.1922474,-0.346114449
22.55,-13.79003525,-0.36450339
22.5525,-13.39859912,-0.384121474
22.555,-13.01745846,-0.405021714
22.5575,-12.64617918,-0.427257616
22.56,-12.28436837,-0.450883046
22.5625,-11.93166961,-0.475952082
22.565,-11.58775901,-0.502518863
