frequency1,S1 1,S21
20.9225,-0.00239779,-32.58422129
20.925,-0.002469939,-32.4555111
20.9275,-0.002544459,-32.32644957
20.93,-0.002621437,-32.19703444
20.9325,-0.00270096,-32.06726344
20.935,-0.002783121,-31.93713427
20.9375,-0.002868015,-31.80664463
20.94,-0.002955743,-31.67579216
20.9425,-0.003046407,-31.54457451
20.945,-0.003140115,-31.4129893
20.9475,-0.003236979,-31.2810341
20.95,-0.003337115,-31.1487065
20.9525,-0.003440644,-31.01600403
20.955,-0.003547692,-30.88292422
20.9575,-0.00365839,-30.74946457
20.96,-0.003772873,-30.61562254
20.9625,-0.003891284,-30.48139559
20.965,-0.00401377,-30.34678115
20.9675,-0.004140483,-30.2117766
20.97,-0.004271584,-30.07637933
20.9725,-0.004407239,-29.94058669
20.975,-0.004547621,-29.80439599
20.9775,-0.004692911,-29.66780454
20.98,-0.004843294,-29.53080961
20.9825,-0.004998968,-29.39340844
20.985,-0.005160135,-29.25559825
20.9875,-0.005327007,-29.11737623
20.99,-0.005499806,-28.97873956
20.9925,-0.005678762,-28.83968537
20.995,-0.005864113,-28.70021076
20.9975,-0.006056112,-28.56031284
21,-0.006255017,-28.41998864
21.0025,-0.006461102,-28.27923521
21.005,-0.006674649,-28.13804954
21.0075,-0.006895954,-27.99642862
21.01,-0.007125325,-27.85436937
21.0125,-0.007363084,-27.71186873
21.015,-0.007609567,-27.56892358
21.0175,-0.007865123,-27.42553078
21.02,-0.008130118,-27.28168717
21.0225,-0.008404933,-27.13738955
21.025,-0.008689967,-26.9926347
21.0275,-0.008985635,-26.84741936
21.03,-0.009292371,-26.70174026
21.0325,-0.009610629,-26.55559408
21.035,-0.009940883,-26.40897749
21.0375,-0.010283627,-26.26188713
21.04,-0.010639378,-26.11431959
21.0425,-0.011008676,-25.96627147
21.045,-0.011392087,-25.81773931
21.0475,-0.0117902,-25.66871964
21.05,-0.012203632,-25.51920895
21.0525,-0.012633029,-25.36920371
21.055,-0.013079065,-25.21870036
21.0575,-0.013542447,-25.06769534
21.06,-0.014023914,-24.91618502
21.0625,-0.014524237,-24.76416577
21.065,-0.015044225,-24.61163394
21.0675,-0.015584726,-24.45858584
21.07,-0.016146624,-24.30501777
21.0725,-0.016730848,-24.15092601
21.075,-0.017338369,-23.99630681
21.0775,-0.017970204,-23.84115639
21.08,-0.01862742,-23.68547098
21.0825,-0.019311133,-23.52924675
21.085,-0.020022513,-23.3724799
21.0875,-0.020762787,-23.21516658
21.09,-0.021533239,-23.05730294
21.0925,-0.022335219,-22.89888512
21.095,-0.023170138,-22.73990923
21.0975,-0.02403948,-22.58037139
21.1,-0.024944798,-22.42026771
21.1025,-0.025887725,-22.2595943
21.105,-0.026869971,-22.09834724
21.1075,-0.027893333,-21.93652265
21.11,-0.028959696,-21.77411662
21.1125,-0.030071041,-21.61112526
21.115,-0.031229445,-21.4475447
21.1175,-0.032437091,-21.28337105
21.12,-0.033696274,-21.11860048
21.1225,-0.035009402,-20.95322913
21.125,-0.036379008,-20.78725322
21.1275,-0.037807751,-20.62066894
21.13,-0.039298429,-20.45347255
21.1325,-0.040853983,-20.28566036
21.135,-0.042477504,-20.11722868
21.1375,-0.044172247,-19.94817391
21.14,-0.045941631,-19.77849248
21.1425,-0.047789257,-19.60818091
21.145,-0.049718913,-19.43723577
21.1475,-0.051734586,-19.26565372
21.15,-0.053840473,-19.0934315
21.1525,-0.056040993,-18.92056594
21.155,-0.0583408,-18.74705399
21.1575,-0.060744795,-18.57289272
21.16,-0.063258143,-18.3980793
21.1625,-0.065886283,-18.22261107
21.165,-0.06863495,-18.0464855
21.1675,-0.071510186,-17.86970023
21.17,-0.074518361,-17.69225308
21.1725,-0.077666193,-17.51414206
21.175,-0.080960765,-17.33536541
21.1775,-0.084409547,-17.15592155
21.18,-0.08802042,-16.97580921
21.1825,-0.091801699,-16.79502732
21.185,-0.095762157,-16.61357515
21.1875,-0.099911055,-16.43145225
21.19,-0.104258166,-16.2486585
21.1925,-0.10881381,-16.06519415
21.195,-0.113588881,-15.88105984
21.1975,-0.118594884,-15.6962566
21.2,-0.123843971,-15.51078593
21.2025,-0.129348976,-15.32464978
21.205,-0.135123458,-15.13785064
21.2075,-0.141181743,-14.95039151
21.21,-0.147538969,-14.76227602
21.2125,-0.15421113,-14.57350838
21.215,-0.161215133,-14.38409352
21.2175,-0.168568847,-14.19403704
21.22,-0.176291158,-14.00334535
21.2225,-0.184402033,-13.81202565
21.225,-0.19292258,-13.62008603
21.2275,-0.201875113,-13.42753549
21.23,-0.211283225,-13.23438406
21.2325,-0.221171859,-13.0406428
21.235,-0.231567388,-12.84632391
21.2375,-0.242497695,-12.65144079
21.24,-0.253992259,-12.45600812
21.2425,-0.266082243,-12.26004193
21.245,-0.278800595,-12.06355969
21.2475,-0.292182139,-11.86658043
21.25,-0.306263684,-11.66912475
21.2525,-0.321084131,-11.47121502
21.255,-0.336684583,-11.27287539
21.2575,-0.353108467,-11.07413196
21.26,-0.370401653,-10.87501286
21.2625,-0.388612582,-10.67554836
21.265,-0.407792396,-10.47577098
21.2675,-0.427995073,-10.27571567
21.27,-0.449277567,-10.07541983
21.2725,-0.471699949,-9.874923524
21.275,-0.495325552,-9.67426958
21.2775,-0.52022112,-9.473503705
21.28,-0.546456957,-9.272674631
21.2825,-0.574107076,-9.071834246
21.285,-0.60324935,-8.871037717
21.2875,-0.633965663,-8.670343624
21.29,-0.666342054,-8.469814084
21.2925,-0.700468862,-8.269514867
21.295,-0.736440862,-8.069515511
21.2975,-0.774357396,-7.86988943
21.3,-0.814322495,-7.670714002
21.3025,-0.856444988,-7.472070657
21.305,-0.900838595,-7.274044938
21.3075,-0.947622013,-7.076726552
21.31,-0.996918968,-6.880209394
21.3125,-1.04885826,-6.684591557
21.315,-1.10357377,-6.489975301
21.3175,-1.161204448,-6.296467002
21.32,-1.221894264,-6.104177067
21.3225,-1.285792124,-5.913219802
21.325,-1.353051751,-5.723713252
21.3275,-1.423831524,-5.535778991
21.33,-1.498294267,-5.349541862
21.3325,-1.576607003,-5.165129675
21.335,-1.658940648,-4.98267285
21.3375,-1.74546966,-4.802304004
21.34,-1.836371639,-4.624157484
21.3425,-1.931826873,-4.448368854
21.345,-2.032017834,-4.275074314
21.3475,-2.137128626,-4.104410078
21.35,-2.247344393,-3.936511697
21.3525,-2.36285068,-3.771513336
21.355,-2.483832762,-3.609547017
21.3575,-2.610474946,-3.450741819
21.36,-2.742959855,-3.295223059
21.3625,-2.881467696,-3.143111458
21.365,-3.026175541,-2.994522291
21.3675,-3.177256607,-2.849564554
21.37,-3.334879571,-2.708340138
21.3725,-3.499207924,-2.570943037
